State,Year,NO2 Mean,O3 Mean,SO2 Mean,CO Mean,Year Average
Michigan,2003,0.017560764142029006,0.02721393333333332,0.0030187119217391306,0.4007246434782609,0.1121295132188406
Michigan,2004,0.014568412212827987,0.02590978717201168,0.002404298239067056,0.3566714635568512,0.09988849029518948
Michigan,2005,0.015670814585889575,0.029731098159509195,0.0027153034877300604,0.3271517147239263,0.09381723273926378
Michigan,2006,0.012525178275568177,0.027173420454545447,0.0019184612272727267,0.3170493693181818,0.08966660731889203
Michigan,2007,0.008125,0.021,0.002333333,0.229167,0.06515633325
Minnesota,2011,0.007479718358885019,0.027662439024390254,0.0008907596968641119,0.21037669686411162,0.06160240348606275
Minnesota,2012,0.00670010821818182,0.03485720000000001,0.00041438181818181816,0.17082250909090904,0.05319854978181818
Minnesota,2014,0.00629207650970874,0.02512488834951458,0.0004263535145631068,0.2519984466019414,0.07096044124393194
Minnesota,2015,0.006644940377906978,0.02611215988372095,0.0007202936424418603,0.2835010872093023,0.07924462027834302
Missouri,2000,0.01687274991105954,0.0277608035576179,0.004167004411446245,0.524457889404486,0.14331461182115243
Missouri,2001,0.017213364627539505,0.029485216704288938,0.004294333383747179,0.497951356659142,0.1372360678436794
Missouri,2002,0.017385127199530524,0.028731589201877974,0.004127096577464791,0.5869294460093897,0.15929331474706573
Missouri,2003,0.0165294592074592,0.02880860372960373,0.0036263574149184123,0.5697836200466202,0.15468701009965038
Missouri,2004,0.013870773632558136,0.025585274418604663,0.0034364383906976756,0.5527302395348834,0.14890568149418598
Missouri,2005,0.012615151787878788,0.032609044289044285,0.0031883556783216796,0.4850783146853144,0.1333727166101398
Missouri,2006,0.013149854323943664,0.028702967136150247,0.003311647657276992,0.41821857746478874,0.11584576164553992
Missouri,2007,0.012826106706161142,0.0315637772511848,0.0034468500189573457,0.41674004265402825,0.11614419415758288
Missouri,2008,0.012108717339534883,0.028429948837209288,0.0028180250279069737,0.36104537209302306,0.10110051582441855
Missouri,2013,0.012019273761627909,0.024121720930232557,0.002461507517441861,0.258768011627907,0.07434262845930234
Missouri,2014,0.011834839902506963,0.02508600278551531,0.002137319426183842,0.25474523119777187,0.07345084832799449
Missouri,2015,0.013109978697841739,0.02068346043165468,0.0014016762122302155,0.2688203093525182,0.07600385617356122
Missouri,2016,0.012485846530612245,0.02304571428571429,0.001131471918367347,0.32427069387755103,0.09023343165306123
Nevada,2001,0.005876263130434782,0.030838217391304337,0.00029174540217391303,0.06956517391304348,0.02664284995923913
Nevada,2002,0.0029950511350574716,0.04121669252873564,6.24198275862069e-05,0.04683404022988508,0.0227770509303161
Nevada,2003,0.0023455944277108428,0.04138600602409636,1.4056222891566265e-05,0.0028363433734939756,0.011645500012048187
Nevada,2010,0.0223421667,0.0182294,0.00042712100000000003,0.2979165,0.08472879692499999
Nevada,2011,0.01666588023561644,0.026886372602739714,0.0005171260109589039,0.2968340301369868,0.08522585224657546
Nevada,2012,0.01414734752222223,0.031572188888888894,0.00039006624722222235,0.2574514222222225,0.07589025622013897
Nevada,2013,0.016235530771014493,0.0281168463768116,0.0005156189536231884,0.3057859652173913,0.08766349032971016
Nevada,2014,0.013541735445086715,0.031490459537572235,0.00038768751445086684,0.27523319075144526,0.08016326831213877
Nevada,2015,0.013325411584664534,0.03144636102236423,0.0004053760862619808,0.2694228402555914,0.07864999723722053
Nevada,2016,0.017420815153846164,0.02264116666666667,0.00039213342307692296,0.3229146666666667,0.09084219547756411
New Hampshire,2002,0.00998933605978261,0.030568168478260875,0.0011286126249999994,0.28178701630434794,0.08086828336684786
New Hampshire,2003,0.00936833237356321,0.028951310344827577,0.0013311228678160904,0.3390703850574711,0.0946802876609195
New Hampshire,2004,0.009768453239130438,0.026898423913043482,0.002365539831521737,0.25786579891304334,0.07422455397418475
New Hampshire,2005,0.009146547134328355,0.02630129353233832,0.003013994582089552,0.45978972139303464,0.12456288916044772
New Hampshire,2006,0.00733327681142857,0.02856949142857142,0.0015264942057142854,0.3513913542857143,0.09720515418285713
New Hampshire,2007,0.007621771135869565,0.028604163043478285,0.001247466641304348,0.46086600000000016,0.12458485020516309
New Hampshire,2008,0.007219969087912087,0.02777860439560439,0.0013387009835164837,0.5081300054945055,0.1361168199903846
New Hampshire,2009,0.008226784509363297,0.022270880149812745,0.0014796040711610487,0.37292635205992514,0.10122590519756555
New Hampshire,2010,0.007668570667910444,0.029611966417910432,0.000977155791044776,0.44356711567164153,0.1204562021371268
New Hampshire,2014,0.004442317022988508,0.025634517241379304,0.0009292347816091955,0.19318554022988488,0.05604790231896547
New Hampshire,2015,0.0033202604301675997,0.02995135474860337,0.0008441866284916202,0.18510772905027978,0.05480588271438559
New Hampshire,2016,0.0042942459491525425,0.03165096610169492,0.0008346771186440676,0.21221381355932195,0.06224842568220337
New Jersey,2000,0.020527508513966487,0.02026276815642458,0.0062940390782122895,0.5864525418994417,0.15838421441201128
New Jersey,2001,0.02311823008874461,0.02237570995670997,0.005767514166666661,0.6187833008658011,0.1675111887694806
New Jersey,2002,0.024074683953555862,0.023180811320754714,0.005447029029027572,0.5854570783744553,0.15953990066944834
New Jersey,2003,0.023698987366412225,0.021160725190839693,0.006702616987277349,0.650913933842239,0.17561906584669207
New Jersey,2004,0.019228587991404016,0.02196575931232093,0.005624621083094554,0.5204035386819487,0.14180562676719205
New Jersey,2005,0.019873522436532506,0.023937294117647064,0.0049465848482972115,0.46873946130030936,0.12937421567569654
New Jersey,2006,0.01747592888857938,0.02446434261838441,0.003920988590529248,0.3789418607242339,0.10620078020543174
New Jersey,2007,0.018007826469101117,0.02420299719101125,0.0036751833792134864,0.28814937359550563,0.08350884515870786
New Jersey,2008,0.015715290458955214,0.026259660447761186,0.003288780682835821,0.23879832462686568,0.07101551405410447
New Jersey,2011,0.021035292152298844,0.022285982758620693,0.0019754333505747138,0.3584214597701149,0.10092954200790229
New Jersey,2012,0.015609114326158944,0.025578552980132462,0.0011950152715231807,0.28421312913907276,0.08164895292922184
New Jersey,2013,0.015236753000000014,0.024276122052704574,0.0005511910097087374,0.278664529819695,0.07968214897052707
New Jersey,2014,0.016081269179665753,0.023692694986072436,0.0006017025083565454,0.2794240696378826,0.07994993407799433
New Jersey,2015,0.015023080195918354,0.02457038775510206,0.00030123700000000015,0.2851207782312926,0.08125387079557826
New Mexico,2011,0.013397210440677968,0.032708248587570585,0.00041758405932203397,0.20667062711864426,0.06329841755155372
